Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000030,Swindon,8,8 or more people in household,357,0.37
E06000031,Peterborough,0,0 people in household,0,0.0
E06000031,Peterborough,1,1 person in household,23516,27.82
E06000031,Peterborough,2,2 people in household,26700,31.59
E06000031,Peterborough,3,3 people in household,14515,17.17
E06000031,Peterborough,4,4 people in household,11619,13.75
E06000031,Peterborough,5,5 people in household,4858,5.75
E06000031,Peterborough,6,6 people in household,2019,2.39
E06000031,Peterborough,7,7 people in household,769,0.91
E06000031,Peterborough,8,8 or more people in household,536,0.63
E06000032,Luton,0,0 people in household,0,0.0
E06000032,Luton,1,1 person in household,21068,26.69
E06000032,Luton,2,2 people in household,20469,25.93
E06000032,Luton,3,3 people in household,13153,16.66
E06000032,Luton,4,4 people in household,11529,14.6
E06000032,Luton,5,5 people in household,6476,8.2
E06000032,Luton,6,6 people in household,3335,4.22
E06000032,Luton,7,7 people in household,1596,2.02
E06000032,Luton,8,8 or more people in household,1314,1.66
E06000033,Southend-on-Sea,0,0 people in household,0,0.0
E06000033,Southend-on-Sea,1,1 person in household,26102,33.32
E06000033,Southend-on-Sea,2,2 people in household,25371,32.39
E06000033,Southend-on-Sea,3,3 people in household,12385,15.81
E06000033,Southend-on-Sea,4,4 people in household,9857,12.58
E06000033,Southend-on-Sea,5,5 people in household,3242,4.14
E06000033,Southend-on-Sea,6,6 people in household,945,1.21
E06000033,Southend-on-Sea,7,7 people in household,284,0.36
E06000033,Southend-on-Sea,8,8 or more people in household,155,0.2
E06000034,Thurrock,0,0 people in household,0,0.0
E06000034,Thurrock,1,1 person in household,16180,24.38
E06000034,Thurrock,2,2 people in household,19262,29.02
E06000034,Thurrock,3,3 people in household,12854,19.37
E06000034,Thurrock,4,4 people in household,11472,17.28
E06000034,Thurrock,5,5 people in household,4529,6.82
E06000034,Thurrock,6,6 people in household,1441,2.17
E06000034,Thurrock,7,7 people in household,411,0.62
E06000034,Thurrock,8,8 or more people in household,227,0.34
E06000035,Medway,0,0 people in household,0,0.0
E06000035,Medway,1,1 person in household,30462,27.33
E06000035,Medway,2,2 people in household,35753,32.08
E06000035,Medway,3,3 people in household,19650,17.63
E06000035,Medway,4,4 people in household,16738,15.02
E06000035,Medway,5,5 people in household,6200,5.56
E06000035,Medway,6,6 people in household,1875,1.68
E06000035,Medway,7,7 people in household,524,0.47
E06000035,Medway,8,8 or more people in household,256,0.23
E06000036,Bracknell Forest,0,0 people in household,0,0.0
E06000036,Bracknell Forest,1,1 person in household,13465,26.8
E06000036,Bracknell Forest,2,2 people in household,16970,33.77
E06000036,Bracknell Forest,3,3 people in household,8935,17.78
E06000036,Bracknell Forest,4,4 people in household,7743,15.41
E06000036,Bracknell Forest,5,5 people in household,2258,4.49
